productID,productName,productPrice,supplierID,supplierName,storeID,storeName
19,Nikon D850 DSLR Camera,2999.99,29,Nikon Corporation,6,Photo World
36,Anker Soundcore Liberty Air 2 Pro Earbuds,129.99,25,Anker Innovations,3,Sound Zone
32,SteelSeries Arctis Pro Wireless Gaming Headset,329.99,30,SteelSeries,4,Game Zone
37,Lenovo Legion 5 Gaming Laptop,999.99,7,Lenovo Group,5,InnoTech
70,Sennheiser HD 660 S Open-Back Headphones,499.99,31,Sennheiser,3,Sound Zone
16,Sony A7 III Mirrorless Camera,1999.99,21,Sony Corporation,6,Photo World
23,Google Pixel 6,699.99,8,Google LLC,1,Electro Mart
82,Apple Watch SE,279.99,16,Apple Inc.,7,Health Zone
90,Apple AirPods (3rd generation),179.99,16,Apple Inc.,3,Sound Zone
52,ROCCAT Vulcan Pro Mechanical Gaming Keyboard,199.99,32,ROCCAT (Turtle Beach),4,Game Zone
40,Roku Ultra 4K Streaming Player,99.99,33,"Roku, Inc.",1,Electro Mart
7,AirPods Pro,249.99,16,Apple Inc.,3,Sound Zone
87,Beats Powerbeats Pro Wireless Earphones,249.99,34,Beats by Dre (Apple Inc.),3,Sound Zone
24,ASUS ROG Swift PG279Q Gaming Monitor,699.99,13,ASUS,4,Game Zone
66,Acer Aspire 5 Laptop,549.99,6,Acer Inc.,2,Tech Haven
49,Acer Predator XB271HU Gaming Monitor,599.99,6,Acer Inc.,4,Game Zone
101,Red Tomatoes,1899.99,35,Pakistan,51,Pakistan
88,Dell Inspiron 14 Laptop,799.99,1,Dell Technologies,2,Tech Haven
54,Dell Alienware AW3420DW Curved Gaming Monitor,1199.99,12,Alienware (Dell),4,Game Zone
58,Apple HomePod Mini,99.99,16,Apple Inc.,3,Sound Zone
27,GoPro HERO10 Black Action Camera,499.99,36,GoPro Inc.,6,Photo World
56,HP Omen 15 Gaming Laptop,1299.99,19,HP Inc.,5,InnoTech
35,LG C1 OLED 4K TV,2799.99,4,LG Electronics,1,Electro Mart
61,Samsung Galaxy Watch 4 Classic,349.99,37,Samsung Electronics,7,Health Zone
83,HyperX Alloy FPS Pro Mechanical Gaming Keyboard,69.99,17,HyperX (Kingston Technology),4,Game Zone
71,Dell G5 Gaming Desktop,1299.99,1,Dell Technologies,5,InnoTech
96,Nikon Z6 Mirrorless Camera,1999.99,29,Nikon Corporation,6,Photo World
26,Acer Predator Helios 300 Gaming Laptop,1199.99,6,Acer Inc.,5,InnoTech
45,Google Nest Hub (2nd Gen),99.99,8,Google LLC,1,Electro Mart
4,Sony WH-1000XM4 Headphones,349.99,21,Sony Corporation,3,Sound Zone
77,UE Megaboom 3 Portable Bluetooth Speaker,199.99,38,Ultimate Ears (Logitech),3,Sound Zone
64,MSI Optix MAG271CQR Curved Gaming Monitor,399.99,27,MSI (Micro-Star International),4,Game Zone
43,DJI Osmo Pocket 2,349.99,2,DJI,6,Photo World
98,MSI Optix MAG321CQR Curved Gaming Monitor,499.99,27,MSI (Micro-Star International),4,Game Zone
15,Microsoft Surface Laptop 4,1299.99,26,Microsoft Corporation,2,Tech Haven
84,OnePlus Nord 2,499.99,22,OnePlus Technology,1,Electro Mart
25,JBL Flip 5 Portable Bluetooth Speaker,99.99,14,JBL,3,Sound Zone
86,LG UltraGear 27GN950-B Gaming Monitor,1499.99,4,LG Electronics,4,Game Zone
48,Garmin Forerunner 945 GPS Smartwatch,599.99,39,Garmin Ltd.,7,Health Zone
62,Logitech MX Master 3 Wireless Mouse,99.99,11,Logitech,2,Tech Haven
6,Xbox Series X,499.99,26,Microsoft Corporation,4,Game Zone
17,Garmin Venu 2 Smartwatch,399.99,39,Garmin Ltd.,7,Health Zone
14,Bose QuietComfort 35 II Wireless Headphones,299.99,23,Bose Corporation,3,Sound Zone
50,Jabra Elite 85t True Wireless Earbuds,229.99,5,Jabra,3,Sound Zone
63,Google Pixel Buds A-Series,99.99,8,Google LLC,3,Sound Zone
60,Canon EOS M50 Mark II Mirrorless Camera,649.99,15,Canon Inc.,6,Photo World
13,Samsung Galaxy Tab S7,649.99,37,Samsung Electronics,2,Tech Haven
30,Samsung Galaxy Buds Pro,199.99,37,Samsung Electronics,3,Sound Zone
3,Samsung QLED 4K Smart TV,1499.99,37,Samsung Electronics,1,Electro Mart
12,Logitech G Pro X Mechanical Gaming Keyboard,149.99,11,Logitech,4,Game Zone
68,Garmin Instinct Solar Smartwatch,399.99,39,Garmin Ltd.,7,Health Zone
1,iPhone 13 Pro,1099.99,16,Apple Inc.,1,Electro Mart
69,Samsung Odyssey G7 Gaming Monitor,699.99,37,Samsung Electronics,4,Game Zone
42,Sony Xperia 1 III,1299.99,21,Sony Corporation,1,Electro Mart
74,Razer Naga X Gaming Mouse,79.99,40,Razer Inc.,4,Game Zone
67,GoPro HERO9 Black Action Camera,449.99,36,GoPro Inc.,6,Photo World
34,HP Spectre x360 Laptop,1399.99,19,HP Inc.,2,Tech Haven
9,Canon EOS R5 Mirrorless Camera,3499.99,15,Canon Inc.,6,Photo World
93,Alienware AW2521HFL Gaming Monitor,499.99,12,Alienware (Dell),4,Game Zone
33,OnePlus 9 Pro,899.99,22,OnePlus Technology,1,Electro Mart
38,Canon EOS RP Mirrorless Camera,1299.99,15,Canon Inc.,6,Photo World
18,Razer Blade 15 Gaming Laptop,1799.99,40,Razer Inc.,5,InnoTech
55,Sonos Roam Portable Bluetooth Speaker,169.99,41,Sonos Inc.,3,Sound Zone
